sequence,unit_id,matched_unit_id,channel,model,protocol,seed,outer_fold,n_outer_folds,n_fit,n_validation,n_outer_test,train_seed_key,train_seed_u32,inner_split_path,inner_split_sha256,outer_fold_sha256,pair_manifest_sha256,cache_sha256,split_manifest_v2_sha256,tier_b_sha256
11,d1__cnn__random__s1__f000__speech,d1__cnn__random__s1__f000,speech,cnn,random,1,0,5,606,203,203,D1-train|cnn|random|0|1,3746918413,random/fold_000_seed_1.npz,8139dd610f6d36251dc28158d63e504988a9c49955408ae75c82e8b545a2001b,e4f5e0cba166e48fd03218358881d55060bee866fb3889eecbcd828d2667a454,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
12,d1__cnn__random__s1__f000__song,d1__cnn__random__s1__f000,song,cnn,random,1,0,5,606,203,203,D1-train|cnn|random|0|1,3746918413,random/fold_000_seed_1.npz,8139dd610f6d36251dc28158d63e504988a9c49955408ae75c82e8b545a2001b,e4f5e0cba166e48fd03218358881d55060bee866fb3889eecbcd828d2667a454,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
13,d1__cnn__random__s1__f001__speech,d1__cnn__random__s1__f001,speech,cnn,random,1,1,5,606,203,203,D1-train|cnn|random|1|1,3095106213,random/fold_001_seed_1.npz,cc9c1fb9107075e2ad82e31e245d50aaddb9fb9562e013fb737da7bcde6c0e25,bdf4c2f033f285b8ddab7f284a544786ee5a588d98b17c565d0a40a085db0fd6,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
14,d1__cnn__random__s1__f001__song,d1__cnn__random__s1__f001,song,cnn,random,1,1,5,606,203,203,D1-train|cnn|random|1|1,3095106213,random/fold_001_seed_1.npz,cc9c1fb9107075e2ad82e31e245d50aaddb9fb9562e013fb737da7bcde6c0e25,bdf4c2f033f285b8ddab7f284a544786ee5a588d98b17c565d0a40a085db0fd6,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
15,d1__cnn__random__s1__f002__speech,d1__cnn__random__s1__f002,speech,cnn,random,1,2,5,607,203,202,D1-train|cnn|random|2|1,2065933160,random/fold_002_seed_1.npz,b47db2aa4978002243c576b64357e9e7055458ccaeff82d1089e4bf801e849e1,073e2467f5d5be81d6ee022ffa072c23a053fc6838837783532d01ec4692ec68,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
16,d1__cnn__random__s1__f002__song,d1__cnn__random__s1__f002,song,cnn,random,1,2,5,607,203,202,D1-train|cnn|random|2|1,2065933160,random/fold_002_seed_1.npz,b47db2aa4978002243c576b64357e9e7055458ccaeff82d1089e4bf801e849e1,073e2467f5d5be81d6ee022ffa072c23a053fc6838837783532d01ec4692ec68,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
17,d1__cnn__random__s1__f003__speech,d1__cnn__random__s1__f003,speech,cnn,random,1,3,5,607,203,202,D1-train|cnn|random|3|1,3291033240,random/fold_003_seed_1.npz,b437db1d10c51aa07353753d588fe9fb68f1115147d239f9f41826799b919acf,3dd5a31f6c3fd1db761d96076ac1ba488492fc4f5d1de0bfb3509cce9e84f036,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
18,d1__cnn__random__s1__f003__song,d1__cnn__random__s1__f003,song,cnn,random,1,3,5,607,203,202,D1-train|cnn|random|3|1,3291033240,random/fold_003_seed_1.npz,b437db1d10c51aa07353753d588fe9fb68f1115147d239f9f41826799b919acf,3dd5a31f6c3fd1db761d96076ac1ba488492fc4f5d1de0bfb3509cce9e84f036,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
19,d1__cnn__random__s1__f004__speech,d1__cnn__random__s1__f004,speech,cnn,random,1,4,5,607,203,202,D1-train|cnn|random|4|1,3855098014,random/fold_004_seed_1.npz,efc549cff9c964ec150b305fcb0adeaa857498a56ac85fc83d68695c5250c1ee,c811ca9e6ebe58375485ea0be044de30bdd5e78d5ba8e4aa115d41f678ea187c,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
20,d1__cnn__random__s1__f004__song,d1__cnn__random__s1__f004,song,cnn,random,1,4,5,607,203,202,D1-train|cnn|random|4|1,3855098014,random/fold_004_seed_1.npz,efc549cff9c964ec150b305fcb0adeaa857498a56ac85fc83d68695c5250c1ee,c811ca9e6ebe58375485ea0be044de30bdd5e78d5ba8e4aa115d41f678ea187c,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
21,d1__cnn__random__s2__f000__speech,d1__cnn__random__s2__f000,speech,cnn,random,2,0,5,606,203,203,D1-train|cnn|random|0|2,1406055496,random/fold_000_seed_2.npz,57584a9b12b8a802aee7be72048873080b9e53a7d02d67865a63ad318d532e1b,e4f5e0cba166e48fd03218358881d55060bee866fb3889eecbcd828d2667a454,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
22,d1__cnn__random__s2__f000__song,d1__cnn__random__s2__f000,song,cnn,random,2,0,5,606,203,203,D1-train|cnn|random|0|2,1406055496,random/fold_000_seed_2.npz,57584a9b12b8a802aee7be72048873080b9e53a7d02d67865a63ad318d532e1b,e4f5e0cba166e48fd03218358881d55060bee866fb3889eecbcd828d2667a454,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
23,d1__cnn__random__s2__f001__speech,d1__cnn__random__s2__f001,speech,cnn,random,2,1,5,606,203,203,D1-train|cnn|random|1|2,304882163,random/fold_001_seed_2.npz,ff60b4ed6a09e74cc5269c3cd4a61f196689821c771502021b9350fdd5decf6b,bdf4c2f033f285b8ddab7f284a544786ee5a588d98b17c565d0a40a085db0fd6,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
24,d1__cnn__random__s2__f001__song,d1__cnn__random__s2__f001,song,cnn,random,2,1,5,606,203,203,D1-train|cnn|random|1|2,304882163,random/fold_001_seed_2.npz,ff60b4ed6a09e74cc5269c3cd4a61f196689821c771502021b9350fdd5decf6b,bdf4c2f033f285b8ddab7f284a544786ee5a588d98b17c565d0a40a085db0fd6,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
25,d1__cnn__random__s2__f002__speech,d1__cnn__random__s2__f002,speech,cnn,random,2,2,5,607,203,202,D1-train|cnn|random|2|2,56045125,random/fold_002_seed_2.npz,3227f4e0967bcd305fa6daa4181692e7ed97ae7e50d3ce50a7963c4e482b202d,073e2467f5d5be81d6ee022ffa072c23a053fc6838837783532d01ec4692ec68,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
26,d1__cnn__random__s2__f002__song,d1__cnn__random__s2__f002,song,cnn,random,2,2,5,607,203,202,D1-train|cnn|random|2|2,56045125,random/fold_002_seed_2.npz,3227f4e0967bcd305fa6daa4181692e7ed97ae7e50d3ce50a7963c4e482b202d,073e2467f5d5be81d6ee022ffa072c23a053fc6838837783532d01ec4692ec68,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
27,d1__cnn__random__s2__f003__speech,d1__cnn__random__s2__f003,speech,cnn,random,2,3,5,607,203,202,D1-train|cnn|random|3|2,1872916468,random/fold_003_seed_2.npz,515143659e2a67f4cdf7181c49f90afe9cbc1a9d0a0cd7a5068fcac5630a42bd,3dd5a31f6c3fd1db761d96076ac1ba488492fc4f5d1de0bfb3509cce9e84f036,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
28,d1__cnn__random__s2__f003__song,d1__cnn__random__s2__f003,song,cnn,random,2,3,5,607,203,202,D1-train|cnn|random|3|2,1872916468,random/fold_003_seed_2.npz,515143659e2a67f4cdf7181c49f90afe9cbc1a9d0a0cd7a5068fcac5630a42bd,3dd5a31f6c3fd1db761d96076ac1ba488492fc4f5d1de0bfb3509cce9e84f036,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
29,d1__cnn__random__s2__f004__speech,d1__cnn__random__s2__f004,speech,cnn,random,2,4,5,607,203,202,D1-train|cnn|random|4|2,2857919832,random/fold_004_seed_2.npz,1fbbd2ca36f2ab4dc2a54d87ca404d08c240a91e2757e5260205f29a15dbfb5c,c811ca9e6ebe58375485ea0be044de30bdd5e78d5ba8e4aa115d41f678ea187c,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
30,d1__cnn__random__s2__f004__song,d1__cnn__random__s2__f004,song,cnn,random,2,4,5,607,203,202,D1-train|cnn|random|4|2,2857919832,random/fold_004_seed_2.npz,1fbbd2ca36f2ab4dc2a54d87ca404d08c240a91e2757e5260205f29a15dbfb5c,c811ca9e6ebe58375485ea0be044de30bdd5e78d5ba8e4aa115d41f678ea187c,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
31,d1__cnn__groupkfold__s0__f000__speech,d1__cnn__groupkfold__s0__f000,speech,cnn,groupkfold,0,0,5,572,220,220,D1-train|cnn|groupkfold|0|0,3349923662,groupkfold/fold_000_seed_0.npz,85f4df85b7bcc365d20c2e31098cbac4b426280c5fa263cca8545cf420cc78aa,2cefe0c89f1c7a75949ff62d22e564bee062a3e8e5406ea3fb5549ac7bcd6dcc,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
32,d1__cnn__groupkfold__s0__f000__song,d1__cnn__groupkfold__s0__f000,song,cnn,groupkfold,0,0,5,572,220,220,D1-train|cnn|groupkfold|0|0,3349923662,groupkfold/fold_000_seed_0.npz,85f4df85b7bcc365d20c2e31098cbac4b426280c5fa263cca8545cf420cc78aa,2cefe0c89f1c7a75949ff62d22e564bee062a3e8e5406ea3fb5549ac7bcd6dcc,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
33,d1__cnn__groupkfold__s0__f001__speech,d1__cnn__groupkfold__s0__f001,speech,cnn,groupkfold,0,1,5,572,220,220,D1-train|cnn|groupkfold|1|0,3645232375,groupkfold/fold_001_seed_0.npz,862e758a7971544042c29c46eaac8d13c0631a4c802c97838ff7ea772939209e,24b8a0010356113c7c3ef0e126b8fdf514da648b59c616d51c7c4309cc460f09,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
34,d1__cnn__groupkfold__s0__f001__song,d1__cnn__groupkfold__s0__f001,song,cnn,groupkfold,0,1,5,572,220,220,D1-train|cnn|groupkfold|1|0,3645232375,groupkfold/fold_001_seed_0.npz,862e758a7971544042c29c46eaac8d13c0631a4c802c97838ff7ea772939209e,24b8a0010356113c7c3ef0e126b8fdf514da648b59c616d51c7c4309cc460f09,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
35,d1__cnn__groupkfold__s0__f002__speech,d1__cnn__groupkfold__s0__f002,speech,cnn,groupkfold,0,2,5,572,220,220,D1-train|cnn|groupkfold|2|0,2575240942,groupkfold/fold_002_seed_0.npz,b43c66ec028c6f5fd6228cb44c3d9214a867e079ebfbe500e435f15862bbd388,defbc64af4e5b2951a98938733ef28179b915da324cc8d84455474545ee55c3f,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
36,d1__cnn__groupkfold__s0__f002__song,d1__cnn__groupkfold__s0__f002,song,cnn,groupkfold,0,2,5,572,220,220,D1-train|cnn|groupkfold|2|0,2575240942,groupkfold/fold_002_seed_0.npz,b43c66ec028c6f5fd6228cb44c3d9214a867e079ebfbe500e435f15862bbd388,defbc64af4e5b2951a98938733ef28179b915da324cc8d84455474545ee55c3f,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
37,d1__cnn__groupkfold__s0__f003__speech,d1__cnn__groupkfold__s0__f003,speech,cnn,groupkfold,0,3,5,616,220,176,D1-train|cnn|groupkfold|3|0,1829979419,groupkfold/fold_003_seed_0.npz,0423ed833cc6ea2d50ef3aa6b634de0bcc12c300f6931cff29ebd1907b3c7dab,7c7abf0d341a3992749df4260bb41c5f60152906032673207a60383299b9351e,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,72c4f52c5380c67425cd66055856dc518fb9f7af40ad053f6f26ff2940aa3196,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
38,d1__cnn__groupkfold__s0__f003__song,d1__cnn__groupkfold__s0__f003,song,cnn,groupkfold,0,3,5,616,220,176,D1-train|cnn|groupkfold|3|0,1829979419,groupkfold/fold_003_seed_0.npz,0423ed833cc6ea2d50ef3aa6b634de0bcc12c300f6931cff29ebd1907b3c7dab,7c7abf0d341a3992749df4260bb41c5f60152906032673207a60383299b9351e,d1f7c60a006b04fec1eabbc7d5a71197a4a0f44eab8154f7214c389d9244ec66,6a29d9106bfb0df837fe263f5f9a9620776a69480995032b5a01525bc9f86929,04b9953b354384043a64c5dbe77cb7e449f5bb4b4fd900d22f1bfbaf1ba10dcc,50173aadf66207f5814f4c89bd6e15fed149964713431105abdfe1da2e2686b3
