draw_rank,sampling_key_sha256,candidate_id,canonical_repo_url,target_datasets,discovery_source,search_ids,repo_relation,original_notes,selection_status,screening_outcome,exclusion_code,exclusion_reason,frozen_commit,checked_at,eligible_sequence
11,0c94a1e82bc28e5fd68a73a714c072e7c64a6f1043295d45df9ace3c3be8bfd4,C210,https://github.com/revatipimparkar/Facial-Emotion-Recognition-in-Humans,CREMA-D,GitHubAPI,RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-2 rank=8,screened_excluded,exclude,E1_not_SER,Repository implements facial/image emotion recognition rather than speech emotion recognition.,9056c8458889a1e810700b74d8c87700bab15c36,2026-08-10T18:19:10-04:00,
12,0dcc19cb1e8784522425e33bb2a5c88e0161b445160c6d02d04c4ac1f302b509,C147,https://github.com/shreyash-alt/Emotion_Recognition_RAVDESS,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=56,selected_eligible,include,,,36743de708023c2ae1a5aa7b538e79b79c3337cd,2026-08-10T18:26:04-04:00,9
13,0f8fc58cefc36ae1850919720ea9bf0ca0b0627c0a2ee285ab921c719f82adb6,C132,https://github.com/KangHyunWook/Pytorch-implementation-of-Multimodal-emotion-recognition-on-RAVDESS-dataset,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=10,selected_eligible,include,,,dd366fbcde5a8248195a47b7c0efd974f25f74c2,2026-08-10T18:26:04-04:00,10
14,0fd803776ebcb1d6be65b773d1f69c10639ab50ff6671ef3bfb38144068ed777,C345,https://github.com/AnkushMalaker/pretrained-dcnn-attention-ser,EmoDB,WebSearch,IE_WEB_E_01,unknown,borderline_stage_B; cited paper evaluates EmoDB/IEMOCAP but README says current repository data preparation supports only RAVDESS and changes AlexNet to ResNet50,selected_eligible,include,,,6d5e27b6cb17d92c9d61c2c023faf518f651bcef,2026-08-10T18:26:04-04:00,11
15,110132bf87aad5c298c08f5b3f81d79ef00784306755feb6c2e78e1506b09237,C252,https://github.com/dori2063/SER_Augmentation_CycleGAN,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,selected_eligible,include,,,86648637f4fd5dcb564ff2c579fd7cbbe7816f0d,2026-08-10T18:26:04-04:00,12
16,12450b95cfb329e30852bfae04b669603de2071d9aa1208730e1cc5f0a42a8e4,C010,https://github.com/sanskardherange/codeAlpha_EmotionRecognition,RAVDESS,GitHub,GH01,unknown,,selected_eligible,include,,,9b8d1fc934a62c0b1b155ab2feb9d113d85a70f3,2026-08-10T18:26:04-04:00,13
17,129af0b52efbadf37a08a8c6ab4d26467952920e2ac997a6a8a329eefabd0a2e,C202,https://github.com/didar-ali-deed/A-hybrid-Approach-To-SER,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=45; raw GitHub repository-search hit; GH-CRE-2 rank=59,selected_eligible,include,,,5f704dd990a586d0485dca16aeb66048e049a8ee,2026-08-10T18:26:04-04:00,14
18,14b5d012f785d2bd522430dd67b02dde909c682e2e415b81bf55ee66884ab847,C348,https://github.com/fdebrain/Speech-Emotion-Recognition-Emo-DB,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_01|IE_GH_E_HYPHEN_02,unknown,,selected_eligible,include,,,55bc617644d61d8c5ce9d46df954776ece525f45,2026-08-10T18:26:04-04:00,15
19,150b45e3a185d8a42150a45f816820f6c57a67efe850c13731eb122e9d756508,C145,https://github.com/Susi-brambilla/emotion-recognition-RAVDESS,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=48,selected_eligible,include,,,7f56fb9ca521c37a06c0a856641536b547eca483,2026-08-10T18:26:04-04:00,16
20,154cfbe0008fa70b8026e1139b826716585ec07d65ba0af99727635f92bfe18f,C171,https://github.com/Omkar-Gode/Speech-Emotion-Recognition,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=13; raw GitHub repository-search hit; GH-CRE-2 rank=19,selected_eligible,include,,,ee0719fab738c68914a71ababe5a914a29fc6cbd,2026-08-10T18:26:04-04:00,17
21,155095ee5f3b01f9e9508dbe1ec715d850dc4dc3e97eb87bc08cc3c469875a52,C361,https://github.com/Kani2k06/CODEALPHA-TASK-2,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_02,unknown,,screened_excluded,exclude,E2_target_not_evaluated,Frozen active training/evaluation path loads only TESS; README-only mentions of RAVDESS and EMO-DB do not establish target-dataset evaluation.,2eebb43d86c9121b7fb700c540704f512617d3f1,2026-08-10T18:45:02-04:00,
22,156622aa44e74ae11e4b9f3c8f2e4c83a487e53ff15a0a8b3a5e2ff51ad92d7f,C259,https://github.com/daribdb/speech-emotion-recognition-iemocap,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,selected_eligible,include,,,785c4433a31ff0bfe86eee5a6230a4fa5aebc6dc,2026-08-10T18:45:02-04:00,18
23,1667a56787659bc30af0561919259705d00b3c1e0490743fed37c20520d38fd4,C274,https://github.com/Yaowan410/Emotion-Aware-subtitles,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,selected_eligible,include,,,dc64ec9a268d2229211b51b9c76bf6fff01f6c49,2026-08-10T18:45:02-04:00,19
24,16cb957f8673408cf540924a51b2ba8fb500473c744427de96c1ee5a284af845,C185,https://github.com/Mayureshkore07/Cross-Dataset-Speech-Emotion-Recognition-Using-Deep-Learning,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=28; raw GitHub repository-search hit; GH-CRE-2 rank=33,selected_eligible,include,,,7172379c53268a4f0b7fceacb91792efeddca247,2026-08-10T18:45:02-04:00,20
25,18397d02638b8a48da199226359d2c190837a96c77c8cdfbf28c815a68295881,C180,https://github.com/VeerR13/Speech-Emotion-Recognition,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=23; raw GitHub repository-search hit; GH-CRE-2 rank=36,selected_eligible,include,,,39473a22021ffe5a661bf6c53380309ba7a533ef,2026-08-10T18:45:02-04:00,21
26,196ca38d5fa09d059874fe1a3ca29b5c5df573f6317342ebb390520cba5b2cc8,C002,https://github.com/yipenglai/Audio-Emotion-Classification,RAVDESS,GitHub|GitHubAPI,GH01|RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=11; raw GitHub repository-search hit; GH-RAV-2 rank=15,selected_eligible,include,,,426d7d473238777ef4e33fdb8d8e053f8cdaae48,2026-08-10T18:45:02-04:00,22
27,19cbbf56589f9dc134889174f0b10e1dc466e4624f175713011334d8577eacf1,C220,https://github.com/VishHUB1/Multimodal-SER,CREMA-D,GitHubAPI,RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-2 rank=61,selected_eligible,include,,,f268b8309889cfc59a2dc8e1cf4aa4c47eb631fc,2026-08-10T18:45:02-04:00,23
28,1a26b4c8939c7cf284bd3285286ebb2ed001344cd0f5f45fa66d38108ec90ab4,C151,https://github.com/VINUVPOTTY/voice-emotion-recognition-ravdess,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=68,selected_eligible,include,,,6a861f77a01ca7ad75336219f220920ce0a36af3,2026-08-10T18:45:02-04:00,24
29,1ae917446bd7efefc2566dd51cdfc381f7c1769412718c6b20bb936031a0258c,C027,https://github.com/flaviorainhoavila/IEMOCAPspeechEmotionRecognition,IEMOCAP,GitHub|GitHubAPI,GH06|IE_GH_I_01|IE_GH_I_02,unknown,,selected_eligible,include,,,ac73e9f95b23f132cdf60ccbd39d0807b60e2db0,2026-08-10T18:45:02-04:00,25
30,1cbd3813b9311e51bccdc4662e842faec25da1780a28ed625ccdc49881802baa,C066,https://github.com/vikrant-3009/SpeechEmotionRecognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=34,selected_eligible,include,,,8268ac652980817c71da0215da5fc2a5f949711c,2026-08-10T18:45:02-04:00,26
31,1cee643f0103b9b47227f61d6681f0cc341eec08696ea8a3d47b583450a53d57,C266,https://github.com/AitanaESCI/speech-emotion-recognition,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,selected_eligible,include,,,ccec93c7605cd4b962a561b1d0e90e2e9af429e5,2026-08-10T18:45:02-04:00,27
32,1d2c23d2ec83ae4fe4f616a60b5620d2bc073e23bfa1aaa605fd3d85b417b0e3,C008,https://github.com/GaybsGimenez/RAVDESS-Speech-Emotion-Recognition-SER,RAVDESS,GitHub|GitHubAPI,GH01|RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=63,selected_eligible,include,,,9557d621afb724d3dd3b4fe16918c6dbd484c527,2026-08-10T18:45:02-04:00,28
33,1da0d68c0964530153a5c5372d3bcead9a2ee21f7c81c395ad85709531df484e,C197,https://github.com/Abhiramkura/Speech-Emotion-recognition-using-deformable-convolutional-neural-networks,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=40; raw GitHub repository-search hit; GH-CRE-2 rank=54,selected_eligible,include,,,3e73295a4446ec1a708485c27ff4570e9afdff95,2026-08-10T18:45:02-04:00,29
34,1e72d89685234449e3a930d4c5086c649d20770f155dc67a03af8fe4fa4bd859,C248,https://github.com/mzarvandi/SER-wav2vec,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,selected_eligible,include,,,3a78aa177edc4e847bcfccbffc2cd88d0aab96f6,2026-08-10T18:45:02-04:00,30
35,1ee545d90ee63f42faf16a52e16f529a3b4f7e64ef1dbc8f9d3bac063a09e6d3,C183,https://github.com/horikita-99/Speech_Emotion_Recognition,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=26; raw GitHub repository-search hit; GH-CRE-2 rank=42,not_reached,,,,,,
36,1fa02778413020f8d6a1272bc67fa87e0068df3701ffe084908dc35007779794,C195,https://github.com/Ai-Lord/Speech_Emotion_Intensity_Prediction_and_Classification,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=38; raw GitHub repository-search hit; GH-CRE-2 rank=26,not_reached,,,,,,
37,1fcb8ccddf2a56a5738401edbf2326117cba99196fc04322e9060d386e02f72c,C172,https://github.com/Aaidaro/Speech-Emotion-Recognition-on-CREMA-D,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=15; raw GitHub repository-search hit; GH-CRE-2 rank=21,not_reached,,,,,,
38,1fdcf9481f4ef7b53c6432c4a096c8ce50c6c247621a6d9eeb8d196e6e063a7e,C041,https://github.com/LetianLee/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=2; raw GitHub repository-search hit; GH-RAV-2 rank=5,not_reached,,,,,,
39,2226c8ec27ce167a2ab40a30995179f7abbc75982168b2a76acb5a38c2101b09,C181,https://github.com/SreeHarshaKuragayala/multidataset-speech-emotion-recognition,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=24; raw GitHub repository-search hit; GH-CRE-2 rank=37,not_reached,,,,,,
40,23d6540f39e04a953c91ab092b77ae93cac20bd42e4ee6a2cfac59c35f664e93,C272,https://github.com/cherreggy/Speech-Emotion-Recognition-with-Two-Layers-LSTM,IEMOCAP|EmoDB,GitHubAPI,IE_GH_I_01|IE_GH_I_02|IE_GH_E_HYPHEN_01|IE_GH_E_HYPHEN_02,unknown,,not_reached,,,,,,
41,23ec76b79f5c9dc9ae519237c00b64129aeaefce2597250318ad900c8b1db693,C061,https://github.com/hussein98912/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=29; raw GitHub repository-search hit; GH-RAV-2 rank=60,not_reached,,,,,,
42,2437489d98db696b2dcdc3771bee208a0d8414437f2b600740002bd7400ba48c,C356,https://github.com/chiarage/Classification-of-Emotion-using-EMO-DB,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_02|IE_GH_E_LONG_02,unknown,,not_reached,,,,,,
43,260af086ff754bb769618a2bca7e075a94950c8f1de39d2d93370f77bd3b3740,C262,https://github.com/Xiao-Yu-Cassie/Speech-Emotion-Recognition-on-Iemocap,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
44,27f49334bd7140e07c98f669e32255e1a818a105b7dce6326c91b5dce0333d89,C059,https://github.com/VishalSingh0401/Speech_Emotion_Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=27; raw GitHub repository-search hit; GH-RAV-2 rank=49,not_reached,,,,,,
45,2b61b5974e4a99c1d1003648e6895e24c858c73d60fbbde2a6e8917173419339,C334,https://github.com/dhivyeshrk/Audio_emotion_recognition,EmoDB,GitHubAPI,IE_GH_E_02,unknown,,not_reached,,,,,,
46,2b83d013c0cb6293964bf3bd5f49a98d61077db922b0fce3e9e5beaf41eb1eff,C065,https://github.com/hrid0yyy/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=33; raw GitHub repository-search hit; GH-RAV-2 rank=55,not_reached,,,,,,
47,2ce09c8cef5e1c9e4063ad799124f150c0ae784455afda60cf32c37f2594507e,C279,https://github.com/SunnyJaneH/DualBranchSER,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
48,2d53c95533febeedc165e81eb29a639ede357a66b0676df7127964c40616286f,C357,https://github.com/opalclouds/Emotion-Recognition-using-Speech,EmoDB,GitHubAPI,IE_GH_E_HYPHEN_02,unknown,,not_reached,,,,,,
49,2f5b504f5ee1ac5f5e2219b27fa4f0f441379d89b452f25c4cfe07bc1d045b5a,C236,https://github.com/purnima99/EmotionDetection,RAVDESS,WebSearch,RC_WEB_RAV_VERIFY,unknown,raw RAVDESS supplementary-web result; unique-repository order=12,not_reached,,,,,,
50,3052a7639d196e445c19c236ddf952f8f630f871e5357d36253d542d40812b94,C215,https://github.com/Dansoko22md/Deep-Learning-Video-Emotion,CREMA-D,GitHubAPI,RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-2 rank=46,not_reached,,,,,,
51,310cc927db867a3eaa6ecdc7f5fb1a9b6bf641bf839858fdda2507b2ebd9b6b2,C121,https://github.com/BristiGhosh604/speech-emotion-recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=92,not_reached,,,,,,
52,313514959ee376424bec270867b7d91bcfcd9d6c80b6488d06671844ac3d33d6,C218,https://github.com/Pranav5489/CodeAlpha_Emotion_Recognition_from_Speech,CREMA-D|EmoDB,GitHubAPI,RC_GH_CRE_2|IE_GH_E_02,unknown,raw GitHub repository-search hit; GH-CRE-2 rank=53,not_reached,,,,,,
53,3506407fdf5651e112f01ac0980ee07c61ba1472253e270c0d70a5cc5c6cbf6c,C146,https://github.com/Lamis-Amd/emotion-recognition-RAVDESS,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=54,not_reached,,,,,,
54,353b5607be6ec4625bc80605fb3957d243aefa9b3da66ad3a2ea34533d06a693,C003,https://github.com/mohnikbakht/RAVDESS_Speech_Emotion_Recognition,RAVDESS,GitHub|GitHubAPI,GH01|RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=18; raw GitHub repository-search hit; GH-RAV-2 rank=28,not_reached,,,,,,
55,362a07f32da0ffe5589ae1d8c6e7210d2481538c42d8422876f2d1175eec9a98,C148,https://github.com/godse4111/Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=58,not_reached,,,,,,
56,36d778cf979d3605b1e16493b05a746070c98e28f8139ad15978f414cd8e0d7d,C208,https://github.com/darkcloud15/speech_based_emotion_recognition,CREMA-D,GitHubAPI,RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-2 rank=4,not_reached,,,,,,
57,3727c14c644af8edea99c2e65b6fa02c26f02b3f2c9f007090e521593445b77f,C238,https://github.com/standing-o/Combined_Dataset_for_Speech_Emotion_Recognition,CREMA-D,WebSearch,RC_WEB_CRE_VERIFY,unknown,raw CREMA-D supplementary-web result; unique-repository order=9,not_reached,,,,,,
58,38c88767898797dded49b84a4e41bc767ded30d83bdd172c6be2d0f026debfe5,C257,https://github.com/ameermasood/MultimodalSpeechEmotionRecognition,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
59,397d4cc1aef94e9d723be38af061c88e159f216bf048cdfe1e2a6c9cb71e5c5c,C016,https://github.com/khirobenn/RAVDESS-Emotion-Recognition-from-Speech,RAVDESS,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=96,not_reached,,,,,,
60,3a9f56a8721c704ecccdcd1c139a55e763dec33de8fb9652a7cced0c5981c179,C319,https://github.com/pmichele/SpeechEmotionRecognition,EmoDB,GitHubAPI,IE_GH_E_01|IE_GH_E_02|IE_GH_E_HYPHEN_01|IE_GH_E_HYPHEN_02,unknown,,not_reached,,,,,,
61,3c17dd867421871eceacc2a207483b2b6d5bec3be6b2aae4d49cd0925c2cf320,C321,https://github.com/K-Schubert/speech-emotion-recognition,EmoDB,GitHubAPI,IE_GH_E_01|IE_GH_E_02|IE_GH_E_HYPHEN_01|IE_GH_E_HYPHEN_02,unknown,,not_reached,,,,,,
62,3c4a26fe8a01179fd005070790f4bc95a2fbf781c701575f0faf076db0b578a5,C263,https://github.com/ribkatam/SER,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
63,3dc639211600d17ec9a8c9848413093e59e1beffbae11dc87e69b6d6ab8ca36b,C307,https://github.com/FriedolasNicomann/LLMs-as-Annotators-for-Emotion-Recognition,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
64,3eaba6c13f12c11207d1319680681733c4303a9480bfa3f31da1efcb946bb069,C297,https://github.com/eric0708/EmoSense,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
65,40584200c9879dfc55c8d1c9b52dec9a71099003332196d098948ee34d4bf127,C011,https://github.com/humayooniqbal12-star/Emotion-Recognition-from-Speech,RAVDESS,GitHub,GH01,unknown,,not_reached,,,,,,
66,41426656929a5084dc0707772e54b2d49f5ad1fea9276cd7adf5e255f36b47b3,C301,https://github.com/Ayush2803/text-emotion-recognition,IEMOCAP,GitHubAPI,IE_GH_I_02,unknown,,not_reached,,,,,,
67,41f0215889ac266a97cc1610b36c7eeb5c0d37b7da5820bdb6bc10abb3581447,C154,https://github.com/564849457/ravdess-multimodal-emotion-recognition,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=72,not_reached,,,,,,
68,421240a17ff932dd3fbcb0d3ab4d161d9fb38107914cbdee2d089a3155077926,C173,https://github.com/andreacecchin/SpeechEmotionRecognition_Emozionalmente,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=16; raw GitHub repository-search hit; GH-CRE-2 rank=48,not_reached,,,,,,
69,422ee81c42d933bd35f43604d6c6df02242e6e52f411bfccd6096ff41d6eb2df,C255,https://github.com/RaudraKush/Speech-Emotion-Recognition---IEMOCAP,IEMOCAP,GitHubAPI,IE_GH_I_01|IE_GH_I_02,unknown,,not_reached,,,,,,
70,424b42e44eb50b8259a41e5264b64303c960d50244d1b4a10288680a5943ddbb,C198,https://github.com/ShrishChou/EMODE,CREMA-D,GitHubAPI,RC_GH_CRE_1|RC_GH_CRE_2,unknown,raw GitHub repository-search hit; GH-CRE-1 rank=41; raw GitHub repository-search hit; GH-CRE-2 rank=44,not_reached,,,,,,
71,430c367705f3e931b418a14b4cd5f3d4536d3887fe54ae0d9d3e142a24903cc1,C136,https://github.com/RosRed/Multimodal-Emotion-Recognition-on-RAVDESS-dataset,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=27,not_reached,,,,,,
72,4352a8cac563adfbcd09e2fc4449e70ba27a70903a527149474fb7289445f2b5,C295,https://github.com/Jaysharma2/Multi-Modal_Multi-Focus_Emotion_Recognition,IEMOCAP,GitHubAPI,IE_GH_I_02|IE_GH_I_LONG_02,unknown,,not_reached,,,,,,
73,436910a5466773644b2ee8d5391a24b53fec3ba9b0609e00dc01222ff7d3e6bf,C085,https://github.com/mrunallll/Speech-Emotion-Recognition,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=54; raw GitHub repository-search hit; GH-RAV-2 rank=98,not_reached,,,,,,
74,4399f808ff7aa08a52b44c6fd69e6e71f1434458f4cee444eb95778707e44719,C155,https://github.com/amnva/voice2emotion,RAVDESS,GitHubAPI,RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-2 rank=75,not_reached,,,,,,
75,43df1bac3c95b79c783ca0b09560fb743875a97e40bdf5de593a4c44e154e8c1,C009,https://github.com/devansh-tiwari-2003/Ravdess-Speech-emotion-recognition-system,RAVDESS,GitHub|GitHubAPI,GH01|RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=62; raw GitHub repository-search hit; GH-RAV-2 rank=100,not_reached,,,,,,
76,43f40f4ee2e5754fd04a2f3930f2faf245c59c97ca8eb215e3f9b3e44ee32702,C028,https://github.com/leecool9669/IEMOCAP-emotion-recognition-WebUI,IEMOCAP,GitHub|GitHubAPI,GH06|IE_GH_I_02,unknown,,not_reached,,,,,,
77,4452f30b8ed8aa8a020a03f1a99cb170f3e97364d0c3ca673c16fbde07596c8e,C080,https://github.com/f20250631-droid/Speech_Emotion_Recognition_RAVDESS,RAVDESS,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,unknown,raw GitHub repository-search hit; GH-RAV-1 rank=49; raw GitHub repository-search hit; GH-RAV-2 rank=77,not_reached,,,,,,
