hypothesis_id,claim_id,family,family_size,corpus_level,model_levels,contrast,definition,direction,sidedness,unit,n_units_expected,statistic,ci_method,test,aggregation,missing_rule,truncation_rule,sesoi_or_margin,a_priori_status,power_holm,power_note
N13,C4b,N-modern,0,subesco_980,wavlm_base_plus,[RR-GG](ft)-[RR-GG](frozen_same_regime),re-exposure,>0,"two-sided test, directional hypothesis",speaker,20,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,estimate,0.185,
N14,S1,N-supp,2,cremad,resnet_se,[val-test](GR_hpo)-[val-test](GG_hpo),"validation optimism of hyperparameter selection on a speaker-overlapping vs grouped inner validation, fixed speaker-exclusive outer test",>0,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,1.0,
N15,S2,N-supp,2,ravdess,"hubert_base,wavlm_base_plus,wav2vec2_base",[Ridge Random-Grouped]-[probe RG-GG],head effect at the outer boundary on identical CTRL partitions,none,two-sided,speaker,24,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.817,
R01,C2-rep,R,11,ravdess,"cnn,resnet_se,transformer",RR-GG,pipeline premium,>0,"two-sided test, directional hypothesis",speaker,24,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,1.0,
R02,C2-rep,R,11,ravdess,"cnn,resnet_se,transformer",RG-GG,outer leakage,>0,"two-sided test, directional hypothesis",speaker,24,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,1.0,
R03,C2-rep,R,11,ravdess,"cnn,resnet_se,transformer",RR-RG,inner leakage,>0,"two-sided test, directional hypothesis",speaker,24,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.999,
R04,C2-rep,R,11,cremad,"cnn,resnet_se,transformer",RR-GG,pipeline premium,>0,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,1.0,
R05,C2-rep,R,11,cremad,"cnn,resnet_se,transformer",RG-GG,outer leakage,>0,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,1.0,
R06,C2-rep,R,11,cremad,"cnn,resnet_se,transformer",RR-RG,inner leakage,>0,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.525,
R07,C2-rep,R,11,ravdess,"hubert_base,wavlm_base_plus,wav2vec2_base",RR-GG,probe premium,>0,"two-sided test, directional hypothesis",speaker,24,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.973,
R08,C2-rep,R,11,cremad,"hubert_base,wavlm_base_plus,wav2vec2_base",RR-GG,probe premium,>0,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,1.0,
R09,C4a,R,11,ravdess,wavlm_base_plus_ft,RR-GG,fine-tuned premium,>0,"two-sided test, directional hypothesis",speaker,24,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,1.0,
R10,C4a,R,11,cremad,wavlm_base_plus_ft,RR-GG,fine-tuned premium,>0,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.991,
R11,C4a,R,11,subesco_980,wavlm_base_plus_ft,RR-GG,fine-tuned premium,>0,"two-sided test, directional hypothesis",speaker,20,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",,confirmatory,0.888,
T01,S3,T,2,cremad,"hubert_base,wavlm_base_plus,wav2vec2_base (Ridge A1)",LOSO_sub-Group5,size-matched LOSO equals 5-fold grouped,equivalence,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",+/-1.0 pp,confirmatory,,
T02,S4,T,2,cremad,"cnn,resnet_se",mech unexposed-half - none,no spillover to unexposed co-fold speakers at half exposure,equivalence,"two-sided test, directional hypothesis",speaker,91,mean of speaker-paired differences (pp UAR),"whole-speaker percentile bootstrap, 10000 reps, seed 20260903",two-sided Wilcoxon signed-rank (zero_method=wilcox); exact sign test added when >20% of speakers tie at zero,average within speaker over replicates and over the named model levels BEFORE differencing,"a voided cell (missing outer fold after one retry) voids its contrast; p=1 placeholder, family size unchanged, verdict 'not tested'","units removed by the preregistered truncation order enter as p=1 with verdict 'not tested (truncated, deviation entry N)'",+/-1.5 pp,confirmatory,,
